"Kod";"Nazwa";"Pojazdy";"Rodzaje paliwa";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0264000;"Powiat m. Wrocław";"samochody osobowe";"benzyna";"2015";199134;"szt.";"";
0264000;"Powiat m. Wrocław";"samochody osobowe";"benzyna";"2016";210656;"szt.";"";
0264000;"Powiat m. Wrocław";"samochody osobowe";"benzyna";"2017";221086;"szt.";"";
0264000;"Powiat m. Wrocław";"samochody osobowe";"benzyna";"2018";230861;"szt.";"";
0264000;"Powiat m. Wrocław";"samochody osobowe";"benzyna";"2019";242321;"szt.";"";
0264000;"Powiat m. Wrocław";"samochody osobowe";"benzyna";"2020";250906;"szt.";"";
0264000;"Powiat m. Wrocław";"samochody osobowe";"benzyna";"2021";257826;"szt.";"";
0264000;"Powiat m. Wrocław";"samochody osobowe";"olej napędowy";"2015";109116;"szt.";"";
0264000;"Powiat m. Wrocław";"samochody osobowe";"olej napędowy";"2016";117848;"szt.";"";
0264000;"Powiat m. Wrocław";"samochody osobowe";"olej napędowy";"2017";123237;"szt.";"";
0264000;"Powiat m. Wrocław";"samochody osobowe";"olej napędowy";"2018";130215;"szt.";"";
0264000;"Powiat m. Wrocław";"samochody osobowe";"olej napędowy";"2019";133340;"szt.";"";
0264000;"Powiat m. Wrocław";"samochody osobowe";"olej napędowy";"2020";136790;"szt.";"";
0264000;"Powiat m. Wrocław";"samochody osobowe";"olej napędowy";"2021";137391;"szt.";"";
0264000;"Powiat m. Wrocław";"samochody osobowe";"gaz (LPG)";"2015";29265;"szt.";"";
0264000;"Powiat m. Wrocław";"samochody osobowe";"gaz (LPG)";"2016";30561;"szt.";"";
0264000;"Powiat m. Wrocław";"samochody osobowe";"gaz (LPG)";"2017";30339;"szt.";"";
0264000;"Powiat m. Wrocław";"samochody osobowe";"gaz (LPG)";"2018";32535;"szt.";"";
0264000;"Powiat m. Wrocław";"samochody osobowe";"gaz (LPG)";"2019";32565;"szt.";"";
0264000;"Powiat m. Wrocław";"samochody osobowe";"gaz (LPG)";"2020";33386;"szt.";"";
0264000;"Powiat m. Wrocław";"samochody osobowe";"gaz (LPG)";"2021";34204;"szt.";"";
0264000;"Powiat m. Wrocław";"samochody osobowe";"pozostałe";"2015";44316;"szt.";"";
0264000;"Powiat m. Wrocław";"samochody osobowe";"pozostałe";"2016";43998;"szt.";"";
0264000;"Powiat m. Wrocław";"samochody osobowe";"pozostałe";"2017";46273;"szt.";"";
0264000;"Powiat m. Wrocław";"samochody osobowe";"pozostałe";"2018";48394;"szt.";"";
0264000;"Powiat m. Wrocław";"samochody osobowe";"pozostałe";"2019";51663;"szt.";"";
0264000;"Powiat m. Wrocław";"samochody osobowe";"pozostałe";"2020";55384;"szt.";"";
0264000;"Powiat m. Wrocław";"samochody osobowe";"pozostałe";"2021";62997;"szt.";"";
